OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AZ,USGS Arizona Water Science Center,USGS-370944108295101,NB03401529UNSUR,Spring,,14080107,,,,,37.1622222,-108.4975,24000,1,seconds,Interpolated from MAP.,NAD83,6100,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,083,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-371102108313101,NB034015UNSUR,Spring,,14080107,,,,,37.1838889,-108.5252778,24000,1,seconds,Interpolated from MAP.,NAD83,6980,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,083,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-371105108291501,NB03401521UNSUR,Spring,,14080107,,,,,37.1847222,-108.4875,24000,1,seconds,Interpolated from MAP.,NAD83,6885.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,083,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-371112108320901,NB03401613HABB,Spring,,14080107,,,,,37.1866667,-108.5358333,24000,1,seconds,Interpolated from MAP.,NAD83,6980,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,083,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-371415108242301,NB03401404 UNSUR,Spring,,14080107,,,,,37.2375,-108.4063889,24000,1,seconds,Interpolated from MAP.,NAD83,7220.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,083,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-371607108245501,NB03501429DCC,Spring,,14080107,,,,,37.2686111,-108.4152778,24000,1,seconds,Interpolated from MAP.,NAD83,7435,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,083,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-372040108245801,NB03601429DCB,Spring,,14080202,,,,,37.3444444,-108.4161111,24000,1,seconds,Interpolated from MAP.,NAD83,6830.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,083,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USEPA-371226107471402,NB03400818CA,Well,,14080104,,,,,37.2072222,-107.7872222,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,08,067,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USEPA-371618107594201,NB035010019DDB,Well,,14080104,,,,,37.2716667,-107.995,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,08,067,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USEPA-380549107453301,NB04400805AD,Well,,14020006,,,,,38.0969444,-107.7591667,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,08,091,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USEPA-390943108081601,SC01009629BD,Well,,14010005,,,,,39.1619444,-108.1377778,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,08,077,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USEPA-393939106400601,SC00408334AD,Well,,14010003,,,,,39.6608333,-106.6683333,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,08,037,,,,,490,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USEPA-401524106500301,NB00308405DC,Well,,14050001,,,,,40.2566667,-106.8341667,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,08,107,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USFS-390021107505801,LEON LAKE 5 MW,Well,,14020005,,,,,39.0058,-107.8494306,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8825,feet,.1,feet,Global Positioning System.,NAVD88,US,08,029,,,,20060915,96,ft,96,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06611000,"COLORADO CREEK NEAR SPICER, CO.",Stream,,10180001,25.8,sq mi,,,40.4419263,-106.5019794,,5,seconds,Interpolated from MAP.,NAD83,8381.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
